Time Series,Anomaly Index,Our Decision,Our Label,Decision,Label,Priority,Confidence,Explanation,Suggested Action
10256,976,True Positive,Port Scan,True Positive,Port Scan,High,High,Significant increase in fLows and destination ports along with decreased TTL indicates scanning activity.,Investigate the source IP.
10729,3405,True Positive,Behavior Change,True Positive,UDP traffic spike,High,High,"Significant increase in UDP traffic, bytes, packets, with a decrease in TTL indicates a potential network attack or misconfiguration.",Investigate UDP traffic origin
11254,861-862,True Positive,DDoS,True Positive,Network Scan,High,High,"Multiple related metrics show significant increases, suggesting a network scan or similar activity.",Investigate the source IP for malicious activity.
18683,754,True Positive,Port Scan,True Positive,DDoS Attack,High,High,"Significant and simultaneous increase across multiple volumetric metrics, especially in bytes, fLows, packets, ports, and TCP/UDP traffic, strongly indicates a potential attack.",Investigate source IP
18683,1700,False Positive,False Positive,False Positive,Normal Traffic,Zero,High,All metrics are within normal variations of the observed history., Ignore
35210,3760-3780,True Positive,Data Transfer,True Positive,Data Exfiltration,High,High,"Significant increase in bytes, fLows, and packets suggests a large data transfer,",Investigate source IP.
44252,4642-4646,True Positive,UDP service,False Positive,Low Traffic,Zero,High,All metrics show Low values compared to historical average traffic.,Ignore
74727,920,True Positive,UDP service,True Positive,Data Exfiltration,High,High,"Significant increase in bytes, packets, and both TCP and UDP traffic indicates potential data exfiltration",Investigate IP immediately.
74727,3447,True Positive,Data Transfer,True Positive,Data Exfiltration,High,High,"Significant increase in bytes, packets and TCP traffic, and no UDP traffic indicates potential data exfiltration.",Investigate traffic source
100610,246,False Positive,False Positive,True Positive,Increased duration,Medium,High,Significant increase in average duration with other metrics stable suggests a potential performance or application issue.,Investigate application logs and server performance.
100610,247,False Positive,False Positive,True Positive,"Reduced Session, ",Medium,High,"A significant decrease in average duration suggests shorter session times, while other metrics show normal activity.",Investigate the cause of the shorter session times.
100610,356,True Positive,Port Scan,True Positive,Data Exfiltration,High,High,"A significant increase in bytes, both in and out, along with the TCP packets, and nearly Zero UDP traffic, suggests a potential data exfiltration.",Investigate source IP.
100610,6224,True Positive,DDoS,True Positive,Large TCP Traffic,High,High,"Multiple metrics related to bytes, fLows, packets, and destination ports show a significant increase, mostly in TCP traffic and without UDP, indicating unusual activity.",Investigate source IP
119651,758,True Positive,Port Scan,True Positive,Large traffic,High,High,"Multiple metrics related to traffic volume show significant increases, indicating a genuine anomaly",Investigate traffic source.
119651,5425,True Positive,Outage/Maintanance,True Positive,TTL Zeroing,High,High,The TTL dropping to Zero while other traffic metrics are normal strongly suggests a networking issue or deliberate manipulation.,Investigate network path.
259860,2464,True Positive,Port Scan,True Positive,Port Scanning,High,High,"Significant increase in fLows, destination IPs, ASNs, and ports suggest scanning activity.",Investigate source IP
268100,971,True Positive,DDoS,True Positive,Traffic Surge,High,High,"Multiple metrics related to traffic volume and destination ports show significant increases, suggesting a potential attack or misconfiguration on the weekend., label: Traffic Surge",Investigate source and destination of the traffic.
268100,5856,True Positive,DDoS,True Positive,UDP flood,High,High,"Significant increase in UDP traffic and overall volume with reduced TCP, likely indicating a UDP flood.",Investigate and mitigate.
268100,6096,True Positive,DDoS,True Positive,Traffic Spike,High,High,Significant increases across multiple metrics related to traffic volume and destinations indicate a likely attack or unusual behavior.,Investigate immediately.
300547,753,True Positive,Port Scan,True Positive,Port Scan,High,High,Significant increase in fLows and destination ports indicates likely Port Scanning activity.,Investigate source IP.
322201,6361,False Positive,False Positive,True Positive,Traffic shift,Medium,High,Decreased traffic volume and duration combined with weekend activity suggests a legitimate change in usage.,Monitor for recurrence.
605036,285,False Positive,False Positive,True Positive,Increased duration,Medium,High,Significant increase in average duration while other metrics remain relatively stable indicates a potential issue with connection handling.,Investigate the application or service behind the IP address for potential performance or configuration issues.
605036,480,True Positive,Outage/Maintanance,True Positive,Zero activity,High,High,"Multiple metrics show significant drop to Zero, including all traffic and duration, suggesting a service outage.",Investigate service outage.
605036,481,False Positive,False Positive,True Positive,Network Scanning,Medium,High," Increased number of fLows, destination IPs and ASNs, together with High TTL indicate a scanning activity.",Investigate source IP.
605036,506,True Positive,Data Transfer,True Positive,UDP traffic spike,High,High,Significant increase in UDP packets and total packets,Investigate source of UDP traffic.
605036,717,True Positive,UDP service,True Positive,UDP Amplification,High,High,"Significant increase in UDP traffic and total bytes, likely an attack","Investigate source and destination IP, possible blocking action."
605036,785,False Positive,False Positive,False Positive,Increased Duration,Low,High,"Only average duration is anomalous and other metrics like bytes, packets, fLows not, indicating normal increase in duration of existing connections.",Monitor
605036,845,False Positive,False Positive,False Positive,Normal activity,Zero,High,All metrics are within expected ranges and no anomalies are detected in any of the individual time series.,No action needed.
605036,919,False Positive,False Positive,False Positive,Reduced Activity,Low,High,"Multiple metrics show Lower than usual values, suggesting a general decrease in activity rather than malicious behavior.",Monitor further
605036,936,False Positive,False Positive,False Positive,Lower Traffic,Low,High,The Lower packet count across all types and during holiday indicates a likely planned traffic decrease.,Monitor for next few hours
605036,938,False Positive,False Positive,True Positive,Increased activity,Medium,High,Increased number of fLows during holiday time suggest a potential unexpected behavior.,Investigate the source and destination of the fLows.
605036,1007,False Positive,False Positive,True Positive,UDP flood,High,High,"Multiple metrics related to UDP traffic, bytes, and packets are significantly Higher than usual, indicating a potential UDP flood attack.",Investigate source.
605036,1012,False Positive,False Positive,False Positive,Network Normalization,Zero,High,"Lower ASN count is likely a benign fluctuation, the number of bytes is also Lower, not indicating attack.",No action
617662,5628,False Positive,False Positive,False Positive,Imbalance ratio,Low,High,"Only direction ratio bytes is anomalous, while other metrics are within normal range, indicating potentially asymmetric communication, but not malicious activity.",Monitor further
617662,6245,False Positive,False Positive,False Positive,Network Normalization,Zero,High,"The decrease in average duration while other metrics remain within normal ranges suggests a typical variation in traffic patterns, possibly due to network optimization.", No action
1490521,1523,True Positive,Data Transfer,True Positive,High Traffic,High,High,Significant increase in bytes and packets across TCP and UDP indicates a genuine traffic surge.,Investigate traffic origin.
