Time Series,Anomaly Index,Our Decision,Our Label,Decision,Label,Priority,Confidence,Explanation,Suggested Action
605036,481,False Positive,False Positive,True Positive,Potential DDoS,High,High,Anomalies across multiple metrics suggest coordinated activity.,Immediate investigation to trace source and mitigate potential DDoS attack.
605036,506,True Positive,Data Transfer,True Positive,Potential DDoS,High,High,Significant deviations in packet counts suggest abnormal traffic patterns.,Initiate immediate traffic analysis and source investigation.
605036,717,True Positive,UDP service,True Positive,Traffic Surge,High,High,Significant increases in traffic metrics notably exceed typical patterns.,"Investigate for potential security breaches or network misuse, verify traffic origins and types."
605036,785,False Positive,False Positive,True Positive,Traffic Overload,Medium,High,Significantly Higher average duration than usual indicates potential overload or unusual traffic.,Investigate the source and purpose of increased traffic duration; check for any potential server issues or unauthorized activities.
605036,845,False Positive,False Positive,True Positive,Network Traffic Drop,Medium,High,Significant drop in traffic across multiple metrics indicating potential issue.,"Investigate for potential network disruptions, device failures, or unauthorized configuration changes."
605036,919,False Positive,False Positive,True Positive,Traffic Decrease,Medium,High,"Significant deviations in ""Number of FLows"" and ""Sum of Destination IP"" suggest a decrease in traffic volume.",
605036,936,False Positive,False Positive,True Positive,Traffic Decrease,Medium,High,"The marked anomalies indicate a significant decrease in packet counts, both TCP and UDP.",Investigate changes in traffic patterns or potential disruptions affecting packet transmissions.
605036,938,False Positive,False Positive,True Positive,Unusual Traffic Spike,High,High,The significant increase in the number of fLows compared to both the 48-hour and 7-day averages indicates an abnormal traffic pattern.,"Investigate potential causes of the traffic spike, such as a misconfiguration, a distributed denial-of-service attack, or an internal system issue. Monitor for additional anomalies and check related system logs."
605036,1007,False Positive,False Positive,True Positive,Potential DDoS,High,High,"Significant increase in bytes, fLows, and packets suggests unusual activity.",nitiate immediate detailed traffic analysis and verify firewall and IDS logs for suspicious patterns.
605036,1012,False Positive,False Positive,True Positive,Decreased ASN Activity,Medium,High,Significant decrease in the sum of Destination ASNs compared to both 48-hour and 7-day trends.,Investigate changes in external communications or possible configuration issues affecting network traffic.
617662,5628,False Positive,False Positive,True Positive,Traffic Imbalance,Medium,High,Significant deviation in Direction Ratio Bytes indicates potential traffic distribution issues.,Investigate the traffic routing and distribution mechanisms for potential misconfigurations or malicious activity.
617662,6245,False Positive,False Positive,True Positive,Low Network Activity,Low,High,Significant drop in average duration compared to historical data.,Review recent changes or issues with network configurations or server performance impacting connection durations.
1490521,1523,True Positive,Data Transfer,True Positive,Potential DDoS,High,High,"The significant spikes in both inbound and outbound bytes and packets, compared to their historical data, suggest unusual network behavior.",Investigate the source and target of excessive traffic to confirm DDoS attack patterns and implement mitigation strategies.
