Time Series,Anomaly Index,Our Decision,Our Label,Decision,Label,Priority,Confidence,Explanation,Suggested Action
44252,4642-4646,True Positive,UDP service,False Positive,Low Traffic,Zero,High,"All traffic volume metrics are significantly Lower than usual, suggesting inactivity rather than a true anomaly.",No action needed.
74727,920,True Positive,UDP service,True Positive,High Traffic Spike,High,High,"Significant spike in bytes, packets, and fLows, especially for both TCP and UDP, suggests unusual High-volume activity.","Investigate source and destination IPs, check for potential DDoS attack or large data transfer."
74727,3447,True Positive,Data Transfer,True Positive,Data Exfiltration,Critical,High,Extremely High outbound traffic with anomalous packet volume suggests potential large-scale data exfiltration.,"Immediately investigate the source IP, analyze traffic patterns, check for unauthorized data transfers, and isolate the system if necessary."
100610,246,False Positive,False Positive,False Positive,Long-lived session,Zero,High,"Only the average duration is anomalous, while all other traffic metrics remain within expected ranges, indicating a legitimate long-duration session.",No action needed.
100610,247,False Positive,False Positive,False Positive,Normal fluctuation,Zero,High,"Only ""Average Duration"" is anomalous, but all other metrics indicate Lower traffic volume, suggesting a benign drop in activity rather than a security incident.",No action needed.
100610,356,True Positive,Port Scan,True Positive,Large Data Transfer,High,High,"Significant increase in total bytes, packets, and TCP traffic suggests a large data transfer or potential data exfiltration.","Investigate source and destination of traffic, verify legitimacy, and check for signs of data exfiltration."
100610,6224,True Positive,DDoS,True Positive,Possible data exfiltration,Critical,High,"Significant spike in total bytes, fLows, packets, and destination ports suggests potential large-scale data transfer or exfiltration.","Immediate investigation; check traffic destination, involved IPs, and inspect logs for unauthorized transfers."
119651,758,True Positive,Port Scan,True Positive,Possible DDoS Attack,Critical,High,"Significant surge in bytes, fLows, packets, and ports suggests abnormal network activity, possibly an attack.","Immediately investigate source IP, analyze traffic patterns, and implement mitigation measures if necessary."
119651,5425,True Positive,Outage/Maintanance,False Positive,Inactivity Period,Zero,High,"All traffic metrics are at Zero, indicating an expected shutdown or inactivity rather than an anomaly.",No action needed.
259860,2464,True Positive,Port Scan,True Positive,Scanning Activity,High,High,"Significant increase in number of fLows, contacted ASNs, destination IPs, and ports suggests scanning or probing behavior.","Investigate source IP for malicious activity, check for correlated alerts, and apply rate-limiting if necessary."
268100,971,True Positive,DDoS,True Positive,Possible DDoS Attack,Critical,High,"Sudden and extreme spike in multiple network traffic metrics, especially bytes, fLows, packets, and destination ports, suggests a High-volume anomalous activity, likely an attack.","Immediate investigation and mitigation; check for signs of DDoS, analyze traffic sources, and apply rate limiting or blocking as necessary."
268100,5856,True Positive,DDoS,True Positive,Potential DDoS,Critical,High,"Sudden and extreme increase in UDP traffic, fLows, packets, and contacted destinations suggests volumetric attack.","Investigate affected IP, check for signs of UDP flood attack, correlate with other security logs, and mitigate if necessary."
268100,6096,True Positive,DDoS,True Positive,Potential DDoS,High,High,"Significant surge in traffic volume, fLows, and unique destinations suggests possible DDoS attack or large-scale scanning.","Investigate source and destination, check for unusual patterns, and mitigate if necessary."
300547,753,True Positive,Port Scan,True Positive,Port Scan,High,High,Sudden spike in the number of fLows and destination ports indicates a likely Port Scanning activity.,"Investigate the source IP, check for scanning patterns, and block if malicious."
322201,6361,False Positive,False Positive,False Positive,Low traffic shift,Low,High,"Decrease in traffic volume but within expected range, likely normal variation.",Monitor for persistence but no immediate action required.
605036,285,False Positive,False Positive,False Positive,Long Connections,Low,High,"The only anomaly is in average duration, while traffic volume metrics remain within expected range.",Monitor for recurrence but no immediate action required.
605036,480,True Positive,Outage/Maintanance,False Positive,Normal Downtime,Zero,High,"All metrics indicate a complete drop in traffic, likely due to expected maintenance or inactivity.",No action needed.
605036,481,False Positive,False Positive,False Positive,Increased Activity,Low,High,"Despite multiple anomalies, the deviations are minor and consistent with natural fluctuations in traffic, likely due to weekend usage patterns.",Monitor for further irregularities but no immediate action required.
605036,506,True Positive,Data Transfer,True Positive,High packet burst,High,High,"Significant increase in total packet count, TCP packets, and UDP packets suggests a sudden burst of network activity.",Investigate source IP for unusual traffic patterns or possible scanning activity.
605036,717,True Positive,UDP service,True Positive,High UDP Traffic,High,High,Significant increase in UDP traffic volume and packet count suggests potential DDoS attack or large-scale data transfer.,"Investigate source and destination of anomalous traffic, check for signs of DDoS or unauthorized data exfiltration."
605036,785,False Positive,False Positive,True Positive,Prolonged Sessions,Medium,High,"Significant increase in average session duration suggests possible long-lived connections, which could indicate unusual activity.",Investigate associated IP traffic patterns and session details to determine intent and legitimacy.
605036,845,False Positive,False Positive,False Positive,Reduced activity,Zero,High,"All observed metrics show a significant drop in activity rather than an unusual spike, which is likely a normal fluctuation rather than an actual anomaly.",No action needed.
605036,919,False Positive,False Positive,False Positive,Decreased activity,Zero,High,The detected anomalies indicate a decrease in network activity rather than a security threat.,No action needed.
605036,936,False Positive,False Positive,False Positive,Reduced Activity,Low,High,"The detected anomalies indicate a decrease in network activity rather than a security threat, with no significant changes in traffic volume or external indicators.",Monitor for continued Low activity but no immediate action required.
605036,938,False Positive,False Positive,True Positive,Increased Scanning,Medium,High,"A significant increase in the number of fLows, accompanied by a rise in destination IPs and ports, suggests scanning behavior.","Investigate source IP for unusual behavior, check for potential scanning activity, and correlate with other security logs."
605036,1007,False Positive,False Positive,True Positive,Large UDP Traffic,High,High,"Significant spike in UDP bytes and packets, along with increased number of fLows and destination IPs, suggests unusual network activity, possibly indicative of scanning, DDoS, or data exfiltration.","Investigate source IP for potential malicious activity, check for correlated traffic patterns, and verify if this aligns with legitimate activity."
605036,1012,False Positive,False Positive,False Positive,Reduced destinations,Zero,High,"Only the ""Sum of Destination ASN"" is anomalous, and its Lower anomaly suggests fewer destination ASNs contacted, which is not necessarily a security concern.",No action needed.
617662,5628,False Positive,False Positive,False Positive,Normal Traffic Shift,Zero,High,"Only one metric (Direction Ratio Bytes) is anomalous, while overall traffic volume and fLow metrics remain within expected ranges.",No action needed.
617662,6245,False Positive,False Positive,False Positive,Normal fluctuation,Zero,High,"Only average duration is anomalous, but all other traffic metrics remain within expected ranges, indicating normal network behavior.",No action needed.
1490521,1523,True Positive,Data Transfer,True Positive,Data Exfiltration,Critical,High,Extreme surge in outgoing TCP/UDP traffic and packet volume suggests potential data exfiltration.,"Immediately investigate the source IP, check logs for unauthorized transfers, and isolate if necessary."
