Time Series,Anomaly Index,Our Decision,Our Label,Decision,Label,Priority,Confidence,Explanation,Suggested Action
100610,246,False Positive,False Positive,False Positive,Unusual traffic fluctuation,Low,High,"While the ""Average Duration"" shows an anomaly, other metrics like ""Number of Bytes"" and ""Number of FLows"" do not show significant changes, suggesting the anomaly is likely a False Positive.",Monitor the traffic closely for a longer period and cross-check with historical data to verify if this anomaly is isolated or part of a pattern.
100610,247,False Positive,False Positive,False Positive,Traffic anomaly,Low,Medium,"The detected anomaly in Average Duration seems to be the only noteworthy deviation, but this metric alone does not strongly suggest a network issue.",SOC team should monitor traffic patterns and ensure no abnormal activities are occurring despite the minor deviation in one metric.
100610,356,True Positive,Port Scan,False Positive,Possible misconfiguration,High,Medium,"The significant increase in traffic metrics (e.g., number of bytes and packets) suggests an anomaly, but it may be caused by a network misconfiguration or benign traffic spikes, not malicious activity.","Investigate recent changes to the network configuration or traffic patterns, focusing on High-volume traffic fLows and associated devices."
100610,6224,True Positive,DDoS,False Positive,Potential misclassification,Low,Medium,"Several metrics show drastic increases, but UDP traffic shows an unusual drop which contradicts other anomalies, suggesting potential misclassification.",Investigate the UDP traffic to verify potential misconfiguration or misreported data.
119651,758,True Positive,Port Scan,False Positive,High data volume,High,Medium,"The detected anomalies in bytes, fLows, and packets are significantly Higher than the normal range, but the volume metrics don't indicate a specific threat, suggesting possible misconfiguration or benign burst traffic.","SOC team should check for potential network misconfigurations, excessive traffic bursts, or automated processes causing abnormal traffic."
119651,5425,True Positive,Outage/Maintanance,False Positive,Possible misconfiguration,Low,High,"The detected anomaly is due to Zero values in multiple metrics, which likely indicate a misconfiguration or transient issue rather than a network anomaly.",Verify network configuration and check for any temporary disruptions or misreporting of traffic data.
259860,2464,True Positive,Port Scan,False Positive,Likely False Alarm,Low,High,"The significant anomalies in fLows, destination ASN, destination IP, and destination ports are consistent with a likely network misclassification rather than an actual attack or issue.","Verify if the observed spikes are related to scheduled network activities or traffic shifts, and monitor for similar patterns in future intervals."
268100,971,True Positive,DDoS,False Positive,High network usage,Medium,High,The anomaly is caused by a substantial increase in traffic but doesn't appear outside normal network behavior for this period.,Verify if the traffic increase corresponds to legitimate network load or scheduled operations during the weekend.
268100,5856,True Positive,DDoS,False Positive,Unusual Traffic,Medium,High,"Most metrics show a significant increase, but no clear malicious or unusual behavior pattern is indicated by the data.",Verify the source of the traffic and check for possible legitimate traffic spikes before proceeding with further investigation.
268100,6096,True Positive,DDoS,False Positive,"Misclassification, Traffic Surge",Medium,High,"Multiple metrics show a significant increase, but the detected anomaly may be due to an expected traffic surge or peak activity, rather than malicious activity.",Investigate the source of the traffic spike to verify if it aligns with known events or expected patterns.
300547,753,True Positive,Port Scan,False Positive,Traffic Volume Spike,Medium,High,"The anomaly in ""Number of FLows"" and ""Sum of Destination Ports"" appears to be a temporary fluctuation without significant changes in other metrics like packets and bytes, which suggests it might not be an actual attack.",Monitor the network for further fluctuations and review any scheduled network activities that could explain the spike.
322201,6361,False Positive,False Positive,False Positive,Low traffic,Low,High,The detected anomalies in bytes and fLows are minor and within expected fluctuation based on previous traffic patterns.,"Monitor the traffic for further abnormalities, but no immediate investigation required."
605036,285,False Positive,False Positive,False Positive,Traffic Surge,Low,High,"The detected anomaly in the ""Average Duration"" metric seems disproportionate compared to the other metrics, which are not anomalous and show typical fluctuations.","Monitor the affected IP for a period of time, verify against application behavior, and ensure no sustained deviation occurs."
605036,480,True Positive,Outage/Maintanance,False Positive,Network Disruption,High,High,"The majority of metrics, including bytes, packets, and fLows, show no significant deviation from expected values, indicating the anomaly detection might be triggered by an isolated event or misconfiguration.","Investigate the network configuration and recent changes to ensure no misrouting or misconfiguration occurred, particularly around traffic routing or NAT."
605036,481,False Positive,False Positive,False Positive,Normal Traffic,Low,High,"Most metrics are within normal range, with only a slight increase in the detected values, making this appear as expected network behavior.","Monitor the traffic for further patterns, but no immediate action required."
605036,506,True Positive,Data Transfer,False Positive,Potential Traffic Spike,Medium,High,"The values for ""Number of Packets"" and ""Number of Packets UDP"" show significant deviations, but they could be part of a short-term burst of legitimate traffic, not necessarily an attack.",Investigate the source of the spike for any legitimate service or traffic pattern change.
605036,717,True Positive,UDP service,False Positive,Possible Misconfiguration,High,Medium,"The detected anomaly in multiple time series metrics seems to be consistent with a large volume of traffic, but the patterns are not unusual enough to indicate malicious activity.",Perform an investigation into potential misconfigurations or changes in network usage that could account for the increased traffic. Check for any recent updates or unusual network behavior that could explain the anomaly.
605036,785,False Positive,False Positive,False Positive,High Traffic Volume,Medium,High,"The anomaly in ""Average Duration"" is the only metric detected as anomalous, but other metrics such as Bytes and Packets are not significantly deviating, which suggests this could be a False Positive.",Investigate if there was an unexpected burst of traffic or a misconfiguration affecting the duration. Check if traffic patterns returned to normal without intervention.
605036,845,False Positive,False Positive,False Positive,Network Traffic Discrepancy,Low,Medium,"Multiple metrics (Number of FLows, Number of Packets, and Bytes In/Out) exhibit significant deviation, but these variations are within the expected noise level based on the surrounding historical data.","Review broader network traffic patterns for a more consistent assessment, and monitor for any sustained anomalies."
605036,919,False Positive,False Positive,False Positive,Traffic fluctuation,Low,High,"The detected anomaly in ""Number of FLows"" and ""Sum of Destination IPs"" is likely a normal fluctuation in traffic patterns, not a malicious event.","Monitor for further unusual patterns over the next few hours, but no immediate action is required."
605036,936,False Positive,False Positive,False Positive,Low Traffic,Low,Medium,"The detected anomaly in packet and fLow counts is likely due to the holiday, which could explain reduced network activity without indicating a real issue.","Monitor traffic during upcoming hours for normal patterns, no immediate action needed."
605036,938,False Positive,False Positive,False Positive,Possible misconfiguration,Low,Medium,"While the number of fLows is anomalous, the other metrics like bytes and packets are not sufficiently deviating from the baseline to indicate a true anomaly, suggesting a False Positive.",Investigate the configuration of the monitored system to check for possible misreporting or error in data aggregation.
605036,1007,False Positive,False Positive,False Positive,Unusual Traffic Pattern,Medium,High,"Several metrics show values that are not significantly deviated from the expected range, suggesting the anomaly might be due to normal variations in network traffic.",Monitor the network traffic for a longer period to confirm the trend and review configurations of anomaly detection thresholds.
605036,1012,False Positive,False Positive,False Positive,Traffic drop,Medium,Medium,"The detected anomaly in the number of fLows and packets (both TCP and UDP) shows a drop, but the number of bytes is not significantly anomalous and does not support a Critical network event.",Investigate if there was any legitimate network maintenance or service disruption during this time.
617662,5628,False Positive,False Positive,False Positive,Network Traffic Decrease,Low,Medium,"The anomaly is primarily driven by a Low value in ""Direction Ratio Bytes,"" but other metrics such as ""Number of Bytes,"" ""Number of FLows,"" and ""Number of Packets"" do not indicate significant unusual activity.",SOC team should monitor the traffic for a longer period to confirm if this is part of a normal network fluctuation.
617662,6245,False Positive,False Positive,False Positive,Normal network fluctuation,Low,High,The detected anomaly in Average Duration is outside expected variation but still within the Lower end of the normal range for network traffic.,Monitor for a longer duration to confirm if the pattern persists; no immediate action required.
1490521,1523,True Positive,Data Transfer,False Positive,Network Traffic Spike,High,Medium,"Despite the extreme spike in bytes, the other metrics like number of fLows and packets do not exhibit anomalous behavior, indicating that the High data transfer may not reflect an actual issue.","Review network traffic patterns for legitimate High traffic (e.g., large Data Transfers) and validate with application usage."
