Time Series,Anomaly Index,Our Decision,Our Label,Decision,Label,Priority,Confidence,Explanation,Suggested Action
119651,5425,True Positive,Outage/Maintanance,False Positive,Possible misconfiguration,Low,High,"The anomaly in the ""Average TTL"" metric may be a result of a configuration change or misconfigured devices, as it shows a small deviation, but not severe enough for an active threat.",Investigate recent network configuration changes or device misconfigurations.
259860,2464,True Positive,Port Scan,False Positive,Excessive Traffic,Medium,High,"The significant increases in metrics such as ""Number of FLows,"" ""Sum of Destination IP,"" ""Sum of Destination Ports,"" and ""Sum of Destination ASN"" are likely related to network scans or large external communications rather than an actual security incident.",Monitor for similar traffic patterns and check if the source is an expected external entity or an automated scanning service. Consider blocking or throttling if it is anomalous.
268100,971,True Positive,DDoS,False Positive,Possible misconfiguration,Medium,Medium,The detected anomalies in bytes and fLows appear to be due to a fluctuation caused by a larger network behavior shift that is not clearly malicious.,Verify network configuration changes or periodic large data transfers that could explain the fluctuations in traffic.
268100,5856,True Positive,DDoS,False Positive,Unusual Traffic Surge,High,Medium,"The anomalous values are significantly Higher than both the 48-hour and 7-day means, especially in metrics like the number of bytes and fLows, but the trend shows normalization after the event, suggesting this is not a true anomaly but rather a temporary fluctuation.",Investigate source of traffic spikes to confirm if this was a brief event or indicative of a broader issue.
268100,6096,True Positive,DDoS,False Positive,Network Traffic Spike,Medium,Medium,"While several metrics show increased values, the anomaly pattern seems to be consistent with normal traffic variation rather than a security incident.","Review recent traffic patterns and confirm if the increase is due to expected network behavior, such as scheduled events or legitimate network activities."
300547,753,True Positive,Port Scan,False Positive,Excessive FLows,Low,Medium,"The number of fLows is an outlier, but the other metrics like bytes and packets don't show significant deviation, suggesting the anomaly detection is likely misinterpreting normal behavior.",Review the fLow data aggregation method and verify if the fLow count spike corresponds to legitimate network traffic behavior.
322201,6361,False Positive,False Positive,False Positive,Low Traffic,Low,Medium,"The Lower anomalies in Bytes and TCP/UDP traffic are likely due to natural fluctuations in network traffic, possibly due to weekend hours or temporary changes in activity.","Monitor for further changes, but no immediate action needed unless similar patterns persist."
605036,285,False Positive,False Positive,False Positive,Volume Spike,Low,Medium,"The anomaly in the ""Average Duration"" metric is a significant outlier but not supported by corresponding anomalies in other metrics such as bytes or packets, suggesting it may be an isolated fluctuation.",Review logs for the specific time window to identify any non-traffic related events or misconfigurations.
605036,480,True Positive,Outage/Maintanance,False Positive,Network downtime,Low,High,"The majority of metrics, including bytes, fLows, and packets, show no significant deviation from their expected values before and after the anomaly, suggesting a false alarm.",Verify with operational teams for planned maintenance or configuration changes.
605036,481,False Positive,False Positive,False Positive,Normal fluctuation,Low,High,"The detected anomalies in metrics like number of fLows, sum of destination ASN, and sum of destination IPs fall within the range of natural fluctuations and do not represent significant deviations.",Monitor for further unusual patterns over the next few hours to ensure no new anomalies emerge.
605036,506,True Positive,Data Transfer,False Positive,Traffic Spike,Low,Medium,"The spike in number of packets and fLows is likely related to traffic bursts, but does not align strongly enough with other metrics to warrant further investigation.",Monitor the affected IP and traffic patterns for potential recurring issues or False Positives.
605036,717,True Positive,UDP service,False Positive,Traffic Surge,Medium,High,"The detected anomalies in traffic metrics such as Bytes, Packets, and FLows are within expected variations after examining the surrounding time windows.",Verify if a routine traffic surge or legitimate increase in traffic is occurring; investigate the source IP for any known patterns of legitimate growth.
605036,785,False Positive,False Positive,False Positive,Mild Traffic Increase,Low,Medium,"The anomaly detected in the ""Average Duration"" metric does not appear to align with other traffic patterns and is within the range of expected fluctuation.",Monitor the IP's traffic patterns for a longer period to confirm consistency.
605036,845,False Positive,False Positive,False Positive,Low Traffic Volume,Low,High,"The metrics such as the number of bytes and fLows are significantly Lower than the historical averages, but these values are within reasonable fluctuations and do not exhibit extreme deviation from the norm.","SOC team should monitor the affected IP closely, but immediate investigation is not necessary unless there is a notable trend of repeated anomalies."
605036,919,False Positive,False Positive,False Positive,Traffic Drop,Medium,High,"The detected anomaly in number of fLows and destination IPs indicates a reduction in activity, but the overall traffic and fLow patterns appear consistent with normal variations.",SOC team should monitor for any further irregularities in traffic fLow and investigate any potential network disruptions or misconfigurations.
605036,936,False Positive,False Positive,False Positive,Network Traffic Fluctuation,Low,Medium,"The detected anomalies in packet counts and fLow numbers do not significantly deviate from expected variance, and they appear consistent with weekend traffic patterns.",Monitor traffic for the next few hours to confirm stability and rule out transient issues.
605036,938,False Positive,False Positive,False Positive,Spurious Traffic,Low,High,"The detected anomaly in ""Number of FLows"" is not significantly deviating from historical averages within the expected variability range.",Monitor for further anomalies and verify if related metrics remain consistent or improve over time.
605036,1007,False Positive,False Positive,False Positive,Network traffic spike,Low,High,"While several metrics show increases, none are significant enough to warrant an anomaly flag.",Monitor for further patterns and validate if this event is part of regular traffic behavior.
605036,1012,False Positive,False Positive,False Positive,Normal Traffic Variation,Low,High,"The values are within a reasonable range of variation based on historical data, showing no significant deviation from normal patterns.",Monitor for further anomalies; no immediate action needed.
617662,5628,False Positive,False Positive,False Positive,Low Traffic,Low,High,"The detected anomaly in the ""Direction Ratio Bytes"" is Lower than expected, but the surrounding metrics show no significant deviation that could indicate an actual issue.",Monitor the traffic over the next few hours for any additional patterns but no immediate action required.
617662,6245,False Positive,False Positive,False Positive,Minor Traffic Spike,Low,Medium,"The anomaly in ""Average Duration"" is small relative to previous patterns and can be attributed to normal fluctuation.",Monitor for the next 24 hours to check if the anomaly persists or is a one-time event.
1490521,1523,True Positive,Data Transfer,False Positive,Potential misclassification,Medium,High,The large deviations in byte counts appear to be artifacts from periodic bursts or unusual traffic but don't show consistent patterns across other time series metrics.,Investigate the traffic patterns for possible temporary surges or scheduled activities that could explain these outliers.
